Country,Continent,Region,Location_details,Language,Language_iso3,Culture,Genre,Year,Decade,Url,Melspec
Nepal,Eurasia,Asia,Dhulikhel,Newar,,,,1991,1990,https://sounds.bl.uk/World-and-traditional-music/Carol-Tingey-Nepal-Collection/025M-C1465X0071XX-0600V0,Melspec/Carol-Tingey-Nepal-Collection_025A-C1465X0071XX-0600A0.csv
Greece,Eurasia,Europe,Greece,,,,World,1955,1950,http://www.folkways.si.edu/musicians-from-pentalophos-macedonia/go-maro-to-the-well/world/music/track/smithsonian,Melspec/27108_SampleAudio.csv
New Zealand,Australia,Australia,New Zealand,,,Maori,World,1952,1950,http://www.folkways.si.edu/waiata-ka-riro-ra-la-te-momo-o-te-tangata/world/music/track/smithsonian,Melspec/26830_SampleAudio.csv
United States of America,North America,North America,United States,,,,American Folk,1992,1990,http://www.folkways.si.edu/sheila-mac-donald/the-night-birds-song/american-folk/music/track/smithsonian,Melspec/17125_SampleAudio.csv
Colombia,South America,South America,Colombia,Spanish,spa,,Latin|World,2004,2000,http://www.folkways.si.edu/grupo-cimarron/llanero-si-soy-llanero/latin-world/music/track/smithsonian,Melspec/53120_SampleAudio.csv
French Polynesia,Australia,Australia,French Polynesia,,,,World,1974,1970,http://www.folkways.si.edu/royal-tahitian-dance-company/papio/world/music/track/smithsonian,Melspec/46568_SampleAudio.csv
Spain,Eurasia,Europe,Spain,,,Basque,World,1954,1950,http://www.folkways.si.edu/juan-onatibia/ezpata-dantza-ikurrinarena/world/music/track/smithsonian,Melspec/31701_SampleAudio.csv
Spain,Eurasia,Europe,Spain,,,,Prose,1967,1960,http://www.folkways.si.edu/octavio-corvalan/calila-y-dimna/prose/track/smithsonian,Melspec/39853_SampleAudio.csv
Kiribati,Australia,Australia,"Betio, South Tarawa, Kiribati",,,,,1985,1980,https://sounds.bl.uk/World-and-traditional-music/Simon-Seligman-Kiribati/025M-C0205X0002XX-0200V0,Melspec/Simon-Seligman-Kiribati_025A-C0205X0002XX-0200A0.csv
Italy,Eurasia,Europe,Italy|United States,Italian,ita,Italian-American,World,1965,1960,http://www.folkways.si.edu/anita-macor-and-nives-dosso/ghiovanin-color-di-rose/world/music/track/smithsonian,Melspec/23706_SampleAudio.csv
Spain,Eurasia,Europe,Spain,,,,Children&#39;s|World,1960,1960,http://www.folkways.si.edu/oh-susana/childrens-world/music/track/smithsonian,Melspec/34042_SampleAudio.csv
Spain,Eurasia,Europe,Spain|United States,,,,American Folk|Historical Song,1961,1960,http://www.folkways.si.edu/pete-seeger/el-quinto-regimiento-the-fifth-regiment/american-folk-historical-song/music/track/smithsonian,Melspec/29675_SampleAudio.csv
Colombia,South America,South America,Colombia,,,,,1960,1960,https://sounds.bl.uk/World-and-traditional-music/Moser-Tayler-Colombia/025M-C0207X0070XX-0100V0,Melspec/Moser-Tayler-Colombia_025A-C0207X0070XX-0100A0.csv
Ghana,Africa,Africa,Ghana,,,,Children&#39;s|World,1954,1950,http://www.folkways.si.edu/ivan-annan/kwaa-ni-kwaa-ni/childrens-world/music/track/smithsonian,Melspec/34290_SampleAudio.csv
Chad,Africa,Africa,Chad,,,,Islamica|World,1966,1960,http://www.folkways.si.edu/villagers-from-fada/fada-tam-tam/islamica-world/music/track/smithsonian,Melspec/25962_SampleAudio.csv
South Africa,Africa,Africa,"KwaPhindangene, Mahlabathini, South Africa",Zulu,zul,,,1964,1960,https://sounds.bl.uk/World-and-traditional-music/Rycroft/025M-C0811X0111XX-0400V0,Melspec/Rycroft_025A-C0811X0111XX-0400A0.csv
Uganda,Africa,Africa,"Home of Maganda Byekwaso at Bunhyiro, Kawete, Busoga, Uganda",Soga,xog,,,1988,1980,https://sounds.bl.uk/World-and-traditional-music/Peter-Cooke-Uganda/025M-C0023X0043XX-0900V0,Melspec/Peter-Cooke-Uganda_025A-C0023X0043XX-0900A0.csv
Colombia,South America,South America,Colombia,,,,,1960,1960,https://sounds.bl.uk/World-and-traditional-music/Moser-Tayler-Colombia/025M-C0207X0074XX-0100V0,Melspec/Moser-Tayler-Colombia_025A-C0207X0074XX-0100A0.csv
Sudan,Africa,Africa,Sudan,,,Dinka,Islamica|World,1976,1970,http://www.folkways.si.edu/dinka-people-of-abyei/combination-of-war-songs/islamica-world/music/track/smithsonian,Melspec/25709_SampleAudio.csv
India,Eurasia,Asia,India,,,,India|World,1965,1960,http://www.folkways.si.edu/erucanampalayam-ramasami-and-olappalayam-palanisami/the-king-hurries-back-to-his-palace/track/smithsonian,Melspec/55949_SampleAudio.csv
Pakistan,Eurasia,Asia,"Khapulu, Baltistan, Northern Areas, Pakistan",,,,,1989,1980,https://sounds.bl.uk/World-and-traditional-music/Colin-Huehns-Pakistan/025M-C0485X0060XX-0900V0,Melspec/Colin-Huehns-Pakistan_025A-C0485X0060XX-0900A0.csv
Russia,Eurasia,Europe,Russia|USSR (former),,,,World,1992,1990,http://www.folkways.si.edu/boris-chegodayev-and-rem-maslov/play-my-fife/world/music/track/smithsonian,Melspec/46039_SampleAudio.csv
Ghana,Africa,Africa,Ghana,Twi,,,,,,https://sounds.bl.uk/World-and-traditional-music/Decca-West-African-recordings/025M-1CS0043337XX-0200V0,Melspec/Decca-West-African-recordings_025A-1CS0043337XX-0200A0.csv
China,Eurasia,Asia,"Kashgar, Xinjiang Uygur Zizhiqu Autonomous Province, China",,,,,1994,1990,https://sounds.bl.uk/World-and-traditional-music/Colin-Huehns-Pakistan/025M-C0485X0073XX-1800V0,Melspec/Colin-Huehns-Pakistan_025A-C0485X0073XX-1800A0.csv
Nigeria,Africa,Africa,Nigeria,Yoruba,yor,,,,,https://sounds.bl.uk/World-and-traditional-music/Decca-West-African-recordings/025M-1CS0043659XX-0200V0,Melspec/Decca-West-African-recordings_025A-1CS0043659XX-0200A0.csv
